flywire_id,role,cell_type,seu_pickle_name,nt,class,side
720575940660219265,output,CB0701,,acetylcholine,motor,right
720575940620874757,relay,CB0616,G2N_1,acetylcholine,central,left
720575940629888530,relay,CB0192,,acetylcholine,central,left
720575940615041430,brake,(unannotated),,(unannotated),(unannotated),(unannotated)
720575940623352063,marginal,CB0911,,acetylcholine,motor,left
720575940632047890,marginal,CB0393,,acetylcholine,central,left
720575940615671106,marginal,DNge059,,acetylcholine,descending,left
720575940619973712,marginal,CB0118,,gaba,central,left
720575940638103349,marginal,CB0499,rattle,acetylcholine,central,left
720575940619853515,premotor_trio,(unannotated),,(unannotated),(unannotated),(unannotated)
720575940623211725,premotor_trio,CB0553,roundup,acetylcholine,central,left
720575940632252743,premotor_trio,CB0493,,acetylcholine,central,left
720575940624963786,sugar_grn,LB3,,acetylcholine,sensory,left
720575940630233916,sugar_grn,LB3,,acetylcholine,sensory,left
720575940637568838,sugar_grn,LB3,,acetylcholine,sensory,left
720575940638202345,sugar_grn,LB3,,acetylcholine,sensory,left
720575940617000768,sugar_grn,LB3,,acetylcholine,sensory,left
720575940630797113,sugar_grn,LB3,,acetylcholine,sensory,left
720575940632889389,sugar_grn,LB3,,acetylcholine,sensory,left
720575940621754367,sugar_grn,LB3,,acetylcholine,sensory,left
720575940621502051,sugar_grn,LB3,,acetylcholine,sensory,left
720575940640649691,sugar_grn,LB3,,acetylcholine,sensory,left
720575940639332736,sugar_grn,LB3,,acetylcholine,sensory,left
720575940616885538,sugar_grn,LB3,,acetylcholine,sensory,left
720575940639198653,sugar_grn,LB3,,acetylcholine,sensory,left
720575940620900446,sugar_grn,(unannotated),,(unannotated),(unannotated),(unannotated)
720575940617937543,sugar_grn,LB3,,acetylcholine,sensory,left
720575940632425919,sugar_grn,LB3,,acetylcholine,sensory,left
720575940633143833,sugar_grn,LB3,,acetylcholine,sensory,left
720575940612670570,sugar_grn,LB3,,acetylcholine,sensory,left
720575940628853239,sugar_grn,LB3,,acetylcholine,sensory,left
720575940629176663,sugar_grn,LB3,,acetylcholine,sensory,left
720575940611875570,sugar_grn,LB3,,acetylcholine,sensory,left
